ticker,timestamp_ms,rate
BTC-USD,1785765600000,-0.0000021
ETH-USD,1785765600000,0.0000008
SOL-USD,1785765600000,0
AVAX-USD,1785765600000,0.0000034
DOGE-USD,1785765600000,0.0000013
LINK-USD,1785765600000,0.0000062
ARB-USD,1785765600000,-0.0000033
OP-USD,1785765600000,-0.0000008
SUI-USD,1785765600000,0.0000042
APT-USD,1785765600000,0.0000017
SEI-USD,1785765600000,-0.0000029
TIA-USD,1785765600000,0.0000066
INJ-USD,1785765600000,0.0000023
NEAR-USD,1785765600000,-0.0000011
TON-USD,1785765600000,-0.0000066
XRP-USD,1785765600000,0.000001
ADA-USD,1785765600000,0.0000006
DOT-USD,1785765600000,-0.0000017
ATOM-USD,1785765600000,
LTC-USD,1785765600000,
TRX-USD,1785765600000,0.0000011
BCH-USD,1785765600000,-0.0000006
ETC-USD,1785765600000,0.0000021
BTC-USD,1785758400000,-0.0000055
ETH-USD,1785758400000,-0.0000026
SOL-USD,1785758400000,-0.0000034
AVAX-USD,1785758400000,0
DOGE-USD,1785758400000,-0.0000021
LINK-USD,1785758400000,0.0000028
ARB-USD,1785758400000,-0.0000067
OP-USD,1785758400000,-0.0000042
SUI-USD,1785758400000,0.0000008
APT-USD,1785758400000,-0.0000017
SEI-USD,1785758400000,-0.0000063
TIA-USD,1785758400000,0.0000032
INJ-USD,1785758400000,-0.0000011
NEAR-USD,1785758400000,-0.0000045
TON-USD,1785758400000,-0.00001
XRP-USD,1785758400000,-0.0000024
ADA-USD,1785758400000,-0.0000028
DOT-USD,1785758400000,-0.0000051
ATOM-USD,1785758400000,-0.0000029
LTC-USD,1785758400000,-0.0000031
TRX-USD,1785758400000,-0.0000023
BCH-USD,1785758400000,-0.000004
ETC-USD,1785758400000,-0.0000013
BTC-USD,1785762000000,-0.0000021
ETH-USD,1785762000000,0.0000008
SOL-USD,1785762000000,0
AVAX-USD,1785762000000,0.0000034
DOGE-USD,1785762000000,0.0000013
LINK-USD,1785762000000,0.0000062
ARB-USD,1785762000000,-0.0000033
OP-USD,1785762000000,-0.0000008
SUI-USD,1785762000000,0.0000042
APT-USD,1785762000000,0.0000017
SEI-USD,1785762000000,-0.0000029
TIA-USD,1785762000000,0.0000066
INJ-USD,1785762000000,0.0000023
NEAR-USD,1785762000000,-0.0000011
TON-USD,1785762000000,-0.0000066
XRP-USD,1785762000000,0.000001
ADA-USD,1785762000000,0.0000006
DOT-USD,1785762000000,-0.0000017
ATOM-USD,1785762000000,0.0000005
LTC-USD,1785762000000,0.0000003
TRX-USD,1785762000000,0.0000011
BCH-USD,1785762000000,-0.0000006
ETC-USD,1785762000000,0.0000021
